LoanAmount,Credit_History,Property_Area_num,Cant_multas,nivel_gravedad_num,Loan_status_num
128,1,2,6,0,1
66,1,2,4,0,1
120,1,2,4,0,1
141,1,2,4,2,1
267,1,2,5,2,1
95,1,2,5,2,1
168,1,2,6,2,1
70,1,2,9,2,1
109,1,2,10,0,1
200,1,2,6,0,1
17,1,2,8,0,1
125,1,2,4,0,1
100,1,2,7,0,1
115,1,2,6,2,1
315,1,2,4,0,1
191,1,1,10,0,1
122,1,1,9,0,1
110,1,2,4,0,1
120,1,1,4,2,1
114,1,1,8,0,1
128,1,2,5,2,1
144,1,1,6,2,1
184,1,2,6,0,1
110,1,1,8,2,1
47,1,2,7,2,1
75,1,2,5,2,1
134,1,1,8,2,1
96,1,2,5,0,1
88,1,2,9,2,1
44,1,2,5,2,1
144,1,2,7,0,1
144,1,1,9,0,1
100,1,1,4,2,1
120,1,1,5,0,1
97,1,1,8,2,1
96,1,1,8,0,1
180,1,2,8,0,1
144,1,2,9,0,1
120,1,2,9,0,1
99,1,2,6,2,1
312,1,2,8,2,1
125,1,2,10,0,1
172,1,2,5,0,1
97,1,1,4,2,1
81,1,1,4,2,1
187,1,1,10,2,1
130,1,1,8,2,1
111,1,1,10,0,1
128,1,1,6,2,1
50,1,2,7,2,1
136,1,1,10,0,1
99,1,1,8,0,1
104,1,1,5,0,1
210,1,2,4,0,1
175,1,1,5,0,1
131,1,1,9,2,1
188,1,1,7,0,1
81,1,2,6,2,1
122,1,1,8,0,1
25,1,1,5,2,1
137,1,1,4,0,1
50,1,1,8,0,1
115,1,1,7,0,1
131,1,1,9,0,1
133,1,2,10,0,1
151,1,1,7,0,1
128,1,2,4,2,1
128,1,1,7,0,1
160,1,2,4,2,1
100,1,2,10,0,1
225,1,2,6,0,1
94,1,1,10,0,1
136,1,2,5,0,1
139,1,1,9,0,1
128,1,1,8,2,1
118,1,1,6,2,1
185,1,0,10,2,1
154,1,1,6,2,1
85,1,2,5,2,1
259,1,2,8,2,1
180,1,0,10,0,1
44,1,1,10,2,1
137,0,1,6,2,1
81,1,1,7,2,1
194,1,0,5,2,1
93,1,0,8,0,1
370,1,0,7,2,1
128,1,0,6,0,1
650,1,2,4,2,1
74,1,2,4,0,1
70,1,1,7,2,1
25,1,1,7,0,1
102,1,1,10,2,1
